"","lvl1","score"
"1","big data",36
"2","x",10
"3","information",9
"4","data natives",8
"5","analytics data mining",6
"6","machine learning",6
"7","media",6
"8","n",6
"9","analytics",5
"10","fog computing  cloud",5
"11","hadoop",5
"12","python",5
"13","s",5
"14","data engineer",4
"15","deep learning part",4
"16","maymin  analytics",4
"17","process",4
"18","r python",4
"19","reasons why people not robots are key to",4
"20","sas text analytics",4
"21","sql",4
"22","top     and  to",4
"23","us",4
"24","ai  law",3
"25","berlin  fintech",3
"26","business analytics",3
"27","data analysis",3
"28","data analyst",3
"29","government",3
"30","id nosql",3
"31","machine learning and",3
"32","r ",3
"33","rss feeds",3
"34","search",3
"35","should ask self before implement any big data strategy",3
"36","this just in",3
"37","tools to protect big data",3
"38","webcast  x",3
"39","a   moocs",2
"40","alphago not solution ai",2
"41","analytics  ket",2
"42","analytics plat",2
"43","androieveloper nanodegree  nd",2
"44","author bio",2
"45","authors",2
"46","beginning ruby  nd",2
"47","big data analytics",2
"48","big data is changing insurance industry forever",2
"49","big data is quietly fighting diseases and illnesses",2
"50","big data means bad analytics",2
"51","big data rule",2
"52","business analyst",2
"53","business problems",2
"54","can i  a",2
"55","chance",2
"56","cloud",2
"57","compdata",2
"58","cs",2
"59","data analyst nanodegree  nd",2
"60","data architect",2
"61","data centers",2
"62","data management for  analytics and  from sas and horton",2
"63","data new",2
"64","deep learning",2
"65","devops",2
"66","doing  kaggle walkthrough cleaning data",2
"67","fintech",2
"68","for  s",2
"69","galaxql",2
"70","game",2
"71","gps",2
"72","hadoop and a   in big data",2
"73","identity and access management for hadoop cornerstone for big data security",2
"74","ieg big data innovation visualization iot",2
"75","integrate art of  into  business community",2
"76","internet of s",2
"77","introduction to matlab january iap",2
"78","ios developer nanodegree  nd",2
"79","iot",2
"80","is it necessary to learn c  java if i want to be a",2
"81","land top big data jobs",2
"82","lecture calendar",2
"83","leverage big data",2
"84","lift analysis  secret weapon",2
"85","machine learning engineer nanodegree  nd",2
"86","machine learning python",2
"87","machine learning software",2
"88","manufacturing",2
"89","mirage citizen",2
"90","ml",2
"91","mobile",2
"92","mooc",2
"93","netflix prize analyzed movie ratings recommender systems",2
"94","network",2
"95","news",2
"96","news x",2
"97","online big data s",2
"98","onlineeducation  jpg",2
"99","open data graphdb",2
"100","part",2
"101","patterndiscovery",2
"102","pharmaceuticalintelligence professional opportunity pharma bi b",2
"103","policy",2
"104","print",2
"105","puzzle",2
"106","quants   process",2
"107","r",2
"108","r hadoop  machine learning  one",2
"109","r learning path",2
"110","removing human element from big data analytics",2
"111","retail",2
"112","rss simple",2
"113","security and risk strategy",2
"114","sencha ch  x",2
"115","senior web developer  nd",2
"116","sitemap",2
"117","smoke signals coming from  hadoop cluster",2
"118","software",2
"119","spark tipping point",2
"120","sql nosql",2
"121","storage",2
"122","submit",2
"123","survey",2
"124","survey quants communication",2
"125","tableau",2
"126","td",2
"127","tech entrepreneur nanodegree  nd",2
"128","telecom developments which impact iot analytics",2
"129","tntp analyst client team",2
"130","to  a",2
"131","to realize analytics value faster",2
"132","top",2
"133","top    s",2
"134","top   data analysis tools business",2
"135","top  offering a s  in",2
"136","top news",2
"137","true is quote   of so calleata scientists arent doing machine learning and many dont even understand it",2
"138","udacity",2
"139","urmg do",2
"140","video using eureqa to uncover mathematical patterns hidden in  data",2
"141","watch",2
"142","watson developer challenge conversational apps language apis",2
"143","webinar powering research  ledge discovery data mining kdd",2
"144","what   a  machine learning scientist to  in order to work in  industry",2
"145","what are most common reasons why mediocre s dont  better s",2
"146","what are most valuable  while learning",2
"147","what is currently most ketablevaluable skill to learn",2
"148","what is most valuable data",2
"149","what is most valuable skill a chef should learn",2
"150","what should one learn to be a",2
"151","a",1
"152","a better way to learn applied statistics got zat",1
"153","a practical intro to",1
"154","a taxonomy of",1
"155","academia",1
"156","adobe unveils series new  capabilities",1
"157","adtmag",1
"158","adtmagcom developermers architects dbas",1
"159","agile architect x",1
"160","airbnb  s",1
"161","algorithms",1
"162","alm x",1
"163","alteryx announces extended relationship microsoft",1
"164","alteryx announces new predictive analytics applications cloud",1
"165","amazon",1
"166","analytics  internet of s",1
"167","analytics announces advancements anaconda",1
"168","analytics x",1
"169","and",1
"170","and people",1
"171","andrew ng",1
"172","announcement for ios developer",1
"173","application security",1
"174","applications",1
"175","applied statistics",1
"176","appro",1
"177","arcadia data introduces security solution visual analytics bi hadoop",1
"178","asg software launches enterprise data intelligence solution",1
"179","at nasa",1
"180","at pandora",1
"181","attacks breaches",1
"182","autodidacticism",1
"183","backissue s",1
"184","baidu",1
"185","bayesian statistics",1
"186","big data  shortage x",1
"187","big data conference ny",1
"188","big data news network",1
"189","big data problems x",1
"190","big data x",1
"191","biosciences",1
"192","biotech",1
"193","blog",1
"194","blog  x",1
"195","blog datachart white png",1
"196","bluedata announces spring release epic software platform",1
"197","bright computing highlights version     bright cluster manager software solutions enterprisehpc",1
"198","brocade",1
"199","building some on art craft and engineering",1
"200","business",1
"201","business intelligence",1
"202","business intelligence and analytics",1
"203","button",1
"204","ca technologies",1
"205","ca technologies  consuming managing apis x",1
"206","can someone is horrible at kaggle contests still do well as a",1
"207","catalog api",1
"208","charting libraries for web developers",1
"209","classical statistics",1
"210","cloud computing",1
"211","cloud computing x",1
"212","cloud infrastructure",1
"213","cloud security",1
"214","cloud storage",1
"215","cloudera",1
"216","commandments of business intelligence in big data",1
"217","common is it for s to do most of their work as lance work",1
"218","complex event processing",1
"219","computer and information research scientists",1
"220","content",1
"221","convey computer",1
"222","couchbase",1
"223","cray",1
"224","cross industry standard process for data mining",1
"225","crowdflower",1
"226","crowdflower png",1
"227","data analyst  check e",1
"228","data mining",1
"229","data politics and unraveling cyber warfare",1
"230","data warehouse ket ripe disruption",1
"231","datacenter dynamics enterprise",1
"232","datanami",1
"233","datarobot brings automateata science hadoop",1
"234","datascientist isnt being  inventive",1
"235","datastax",1
"236","datatorrent",1
"237","datawatch brings self service data preparation capabilities ibm watson analytics cognos analytics users",1
"238","daveholtz",1
"239","ddn",1
"240","dell",1
